date,title,stars,review,no_scent,noscent_counter
2021-10-31,Not worth what I paid for,1.0 out of 5 stars,The wick was covered in wax. I had to get it out with a knife. I lit it up and it wouldn't stay lit because of the wax accumulating around the wick so there was basically never a flame but a little bit of blue light before it would extinguish. Never again.,False,0
2021-03-17,Smells like Gasoline. Manufacturer replacing.,2.0 out of 5 stars,"UPDATED: Amazon advised I'd have to contact the manufacturer (Yankee Candle) directly as it was past the return date. They were very helpful.
They are sending me a replacement, however, there may be duties on it when it arrives due to it shipping from the US. Will update again when I receive the candle. If the duties are high, I'll have to contact them again for a better solution as I'm not paying more money for a new candle when it's supposed to be replaced at no cost to me. The candle smelling like gas was in no way my fault.
---
I was smelling the scent of gasoline in my office; I don't have any gas appliances and u checked my furnace. I've lite the candle only a few times and decided I should smell it because, who knows, maybe it's the candle. Shockingly it was! Pure gasoline.

Very dissapointed as Yankee candles are not cheap and I now have a full French Vanilla Gasoline candle that I can't burn and paid almost $40 for.",True,1
2021-02-07,Disappointing lack of scent,1.0 out of 5 stars,"This has no vanilla scent. Previously I purchased the pine scent and it was fantastic. This vanilla one doesn’t have any smell and is very disappointing. For the price of a Yankee Candle, I expect high quality and a good scent.",True,1
2021-01-30,Very pleased will purchase again !,5.0 out of 5 stars,see headline,False,0
2021-01-01,Known product,5.0 out of 5 stars,A known product and delivered by a proven supplier so all went well as one would expect.,False,0
2020-12-06,Exactly as I expected. Soft mild scent.,5.0 out of 5 stars,Excellent size.,False,0
2020-10-22,I love this candle,5.0 out of 5 stars,I love these candles especially vanilla. Nothing can compare . They last forever and smell great,False,0
2020-10-01,👍🏼,5.0 out of 5 stars,👍🏼,False,0
2020-09-23,You're not going to smell it,3.0 out of 5 stars,"It's a really nice candle and it looks like it's going to last me a long time, but the scent is weak. You're only really going to smell it when you're very close. I live in a tiny apartment and it's still not filling the room I'm in let alone the rest of the apartment. It has a nice slow burn though, so I know it'll last me, I just wish the smell was stronger.",True,1
2020-07-01,Nice scent,3.0 out of 5 stars,Nice smelling candle . A little over priced . I now know that you can get it cheaper on other sites,False,0
2020-06-13,Smells great,5.0 out of 5 stars,Smells great,False,0
2020-05-19,For Mother's Day,5.0 out of 5 stars,"My mother loves the candle. She said the scent is lovely, and fills the room even without lighting the candle.",False,0
2020-05-12,There's no scent.,1.0 out of 5 stars,"I'm a Yankee Candle OG, this is the first candle I've had with zero scent. No value.",True,1
2020-05-11,No bang for your buck - smell is too faint,1.0 out of 5 stars,"I would not recommend this particular scent from this brand. I have tried other Yankee Candles and the smell always circulates nicely in the kitchen/living room due to the size and potency of these candles. French Vanilla, however, is such a faint scent and the room barely smelled like it. If I'm spending nearly $40 on a candle, I expect the scent to be very strong and spread throughout at least one room. I'm pretty disappointed with this purchase.",True,1
2020-04-30,Great quality,4.0 out of 5 stars,Recieved it finally,False,0
2020-04-27,Broken -Update,4.0 out of 5 stars,"I'm updating this review as although we received the candle cracked, we were automatically refunded within a week. The candle itself smells lovely, so we will definitely try to buy it again. Thank you!",False,0
2020-04-26,"Amazing smell, would purchase again",5.0 out of 5 stars,"When I first ordered this candle I was scared because of the reviews saying it smelt like nothing, however, as soon as I lit this candle it gave my room a nice sweet smell that wasn't overbearing. My room is in the basement so within half an hour you could smell the candle from the stairs. My family loves the smell this candle gives off and I could recommend this to anyone.",False,0
2020-01-14,Very weak fragance,1.0 out of 5 stars,"I don't get how Yankee Candle is a market leader. The scent is very weak, barely perceptible compared with other scented candles. On the plus side, the candle does burn for a long time. Still not worth $35.",True,1
2019-12-31,No scent?,1.0 out of 5 stars,"I always thought Yankee Candles were low quality based on my own previous experiences with them, but everyone loves them so much and this product got rave reviews (which I read to ensure they suited my needs), so I figured the formula must have changed over the years and I should give them another shot. Especially because everyone commented on the scent of this candle and I am a vanilla die-hard. But there is no scent to this candle at all, and it isn't a faulty candle - this is just how Yankee Candles are, in my every experience. I left this candle on for *hours*, but I couldn't smell anything, so left the room and came back after about a half hour, and still no scent. Save your money, there are plenty better candles on Amazon, or take a quick trip to Bath and Body Works. Those candles fill up my room with delicious scents within minutes.",True,1
2019-05-12,Quick delivery and cheaper than at the store,5.0 out of 5 stars,Quick delivery and cheaper than going to the store to purchase. Absolutely love this candle - light it every time we use the deep fryer and the scent is strong enough to cut through the grease smell but not so strong that it causes headaches.,False,0
2021-12-24,Like the scent but don't burn evenly,3.0 out of 5 stars,There definitely is a difference parrafin and soy wax. I am an avid candle user and will spend the money on a good candle but was disappointed with the burn. Maybe it needs 2 wicks. I have many Yankee candles and it seems like they have changed their wicks. If you don't trim them they are smokey. I do like their scents though so I end up scraping the sides of wax and put that it a warmer and also when it won't light anymore but there is still wax I put the whole jar in a warmer. For that price I don't want to waste any.,False,0
2021-12-24,Odeur wow,5.0 out of 5 stars,Belle grandeur bon odeur!,False,0
2021-12-22,"Parfume toute la maisonnée,",5.0 out of 5 stars,"Bonne odeur de sapin, ideal pour le temps des fêtes",False,0
2021-12-20,Excellent scent,5.0 out of 5 stars,Scent is pleasant. Not overpowering.,False,0
2021-12-12,I love the quality and scents that Yankee Candle gives! They last a long time as well!,5.0 out of 5 stars,It feels so much more like Christmas when I burn this candle! I love Yankee Candle’,False,0
2021-12-11,Expensive for what it is.,3.0 out of 5 stars,Big heavy candle with two wicks but it burns dimly and the scent is weak. Also the coloring of the candle is very dark almost black in colour. I'm disappointed by this Yankee Candle.,True,1
2021-12-09,Love the Christmas Scent,5.0 out of 5 stars,Love the fact Yankee Candles burn evenly so not wasting so much wax. I have been burning this candle every day as such a lovely Christmas scent!,False,0
2021-12-05,Great candle!,5.0 out of 5 stars,This candle is great all Yankee Candles are top quality with great scents. Have purchase them for years!,False,0
2021-11-30,The candles have a nice scent.,5.0 out of 5 stars,"Smells great,thank you.❤️Love them a lot.",False,0
2021-11-27,Don't buy,1.0 out of 5 stars,Absolutely no scent to this candle. Waste of $$ even on sale.,True,1
